,SubjectID_left,SubjectID_right,Gender_left,Gender_right,Age_left,Age_right,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Round,Block
0,10,12,Female,Female,26,24,Stim\r10y02g36b05.jpeg,Stim\r09y07g06b09.jpeg,10,09,02,07,36,06,05,09,2,-1,0,1,0,1,0,5.521,9.827,0,13.074,1,rød
1,10,12,Female,Female,26,24,Stim\r03y06g12b09.jpeg,Stim\r04y16g13b13.jpeg,03,04,06,16,12,13,09,13,-2,-1,0,0,0,0,0,7.153,8.768,0,0.0,1,rød
2,10,12,Female,Female,26,24,Stim\r22y02g34b05.jpeg,Stim\r21y01g04b27.jpeg,22,21,02,01,34,04,05,27,-1,-2,0,0,1,1,0,2.016,2.562,0,0.0,1,rød
3,10,12,Female,Female,26,24,Stim\r11y26g25b38.jpeg,Stim\r12y09g30b18.jpeg,11,12,26,09,25,30,38,18,-2,-1,0,0,0,0,0,2.555,2.601,0,0.0,1,rød
4,10,12,Female,Female,26,24,Stim\r12y07g16b25.jpeg,Stim\r09y02g05b02.jpeg,12,09,07,02,16,05,25,02,3,-2,0,1,0,1,0,1.628,1.942,0,9.918,1,rød
5,10,12,Female,Female,26,24,Stim\r03y03g02b05.jpeg,Stim\r06y19g29b08.jpeg,03,06,03,19,02,29,05,08,1,4,0,0,1,1,0,3.393,4.856,0,0.0,1,rød
6,10,12,Female,Female,26,24,Stim\r22y23g20b06.jpeg,Stim\r16y21g04b04.jpeg,22,16,23,21,20,04,06,04,3,-3,0,-1,0,1,1,2.329,1.93,0,3.411,1,rød
7,10,12,Female,Female,26,24,Stim\r13y33g08b23.jpeg,Stim\r16y21g04b04.jpeg,13,16,33,21,08,04,23,04,2,2,0,0,1,1,0,1.549,2.495,0,0.0,1,rød
8,10,12,Female,Female,26,24,Stim\r08y23g10b29.jpeg,Stim\r11y13g22b35.jpeg,08,11,23,13,10,22,29,35,-2,-2,0,0,0,0,0,1.449,1.961,0,0.0,1,rød
9,10,12,Female,Female,26,24,Stim\r09y17g32b21.jpeg,Stim\r10y37g07b02.jpeg,09,10,17,37,32,07,21,02,2,-3,-1,0,1,0,0,4.776,1.99,13.944,0.0,1,rød
10,10,12,Female,Female,26,24,Stim\r17y11g38b07.jpeg,Stim\r21y31g06b08.jpeg,17,21,11,31,38,06,07,08,-1,-3,0,0,0,0,0,1.323,1.901,0,0.0,1,rød
11,10,12,Female,Female,26,24,Stim\r10y13g07b36.jpeg,Stim\r07y14g27b22.jpeg,10,07,13,14,07,27,36,22,-1,-2,0,0,1,1,0,1.06,3.208,0,0.0,1,rød
12,10,12,Female,Female,26,24,Stim\r07y06g08b05.jpeg,Stim\r03y03g02b05.jpeg,07,03,06,03,08,02,05,05,-2,-2,0,0,1,1,0,1.434,1.547,0,0.0,1,rød
13,10,12,Female,Female,26,24,Stim\r12y07g07b17.jpeg,Stim\r08y23g10b29.jpeg,12,08,07,23,07,10,17,29,2,-2,1,0,0,1,0,1.295,2.473,3.564,0.0,1,rød
14,10,12,Female,Female,26,24,Stim\r22y35g09b11.jpeg,Stim\r21y03g15b37.jpeg,22,21,35,03,09,15,11,37,2,-4,-1,0,0,1,1,1.439,1.437,2.497,0.0,1,rød
15,10,12,Female,Female,26,24,Stim\r09y06g26b32.jpeg,Stim\r03y06g12b09.jpeg,09,03,06,06,26,12,32,09,-1,-2,0,0,1,1,0,0.955,1.122,0,0.0,1,rød
16,10,12,Female,Female,26,24,Stim\r04y28g27b06.jpeg,Stim\r01y27g01b01.jpeg,04,01,28,27,27,01,06,01,-1,-2,0,0,1,1,0,0.806,1.938,0,0.0,1,rød
17,10,12,Female,Female,26,24,Stim\r18y13g28b06.jpeg,Stim\r17y22g16b15.jpeg,18,17,13,22,28,16,06,15,-2,-3,0,0,1,1,0,1.642,1.356,0,0.0,1,rød
18,10,12,Female,Female,26,24,Stim\r06y19g29b08.jpeg,Stim\r05y09g02b34.jpeg,06,05,19,09,29,02,08,34,1,-2,0,-1,0,1,1,1.589,2.853,0,6.282,1,rød
19,10,12,Female,Female,26,24,Stim\r06y14g31b25.jpeg,Stim\r14y10g15b15.jpeg,06,14,14,10,31,15,25,15,1,1,0,0,1,1,0,2.019,1.581,0,0.0,1,rød
20,10,12,Female,Female,26,24,Stim\r14y20g16b10.jpeg,Stim\r18y13g28b06.jpeg,14,18,20,13,16,28,10,06,-2,-3,0,0,0,0,0,2.337,1.633,0,0.0,1,rød
21,10,12,Female,Female,26,24,Stim\r01y27g01b01.jpeg,Stim\r04y39g24b15.jpeg,01,04,27,39,01,24,01,15,3,4,0,0,1,1,0,1.666,3.213,0,0.0,1,rød
22,10,12,Female,Female,26,24,Stim\r06y36g16b14.jpeg,Stim\r12y07g07b17.jpeg,06,12,36,07,16,07,14,17,4,3,0,0,1,1,0,2.388,1.784,0,0.0,1,rød
23,10,12,Female,Female,26,24,Stim\r17y20g40b07.jpeg,Stim\r15y05g12b10.jpeg,17,15,20,05,40,12,07,10,-2,-1,0,0,1,1,0,3.195,2.238,0,0.0,1,rød
24,10,12,Female,Female,26,24,Stim\r08y12g20b03.jpeg,Stim\r07y02g03b06.jpeg,08,07,12,02,20,03,03,06,2,-3,0,-1,0,1,1,2.541,1.121,0,3.913,1,rød
25,10,12,Female,Female,26,24,Stim\r13y33g08b23.jpeg,Stim\r03y11g01b26.jpeg,13,03,33,11,08,01,23,26,4,1,0,0,1,1,0,1.49,2.22,0,0.0,1,blå
26,10,12,Female,Female,26,24,Stim\r09y06g26b32.jpeg,Stim\r15y17g24b30.jpeg,09,15,06,17,26,24,32,30,-1,-2,0,0,1,1,0,1.224,2.344,0,0.0,1,blå
27,10,12,Female,Female,26,24,Stim\r01y27g01b01.jpeg,Stim\r09y02g05b02.jpeg,01,09,27,02,01,05,01,02,4,3,0,0,1,1,0,2.466,1.612,0,0.0,1,blå
28,10,12,Female,Female,26,24,Stim\r07y14g27b22.jpeg,Stim\r03y11g01b26.jpeg,07,03,14,11,27,01,22,26,4,1,0,0,1,1,0,1.731,2.094,0,0.0,1,blå
29,10,12,Female,Female,26,24,Stim\r16y09g06b10.jpeg,Stim\r18y13g28b06.jpeg,16,18,09,13,06,28,10,06,2,-2,0,1,0,1,0,1.309,2.74,0,5.699,1,blå
30,10,12,Female,Female,26,24,Stim\r17y20g40b07.jpeg,Stim\r21y24g16b04.jpeg,17,21,20,24,40,16,07,04,1,-2,-1,0,0,1,1,2.064,1.812,3.281,0.0,1,blå
31,10,12,Female,Female,26,24,Stim\r06y36g16b14.jpeg,Stim\r21y31g06b08.jpeg,06,21,36,31,16,06,14,08,-2,-3,0,0,1,1,0,1.459,2.837,0,0.0,1,blå
32,10,12,Female,Female,26,24,Stim\r04y16g13b13.jpeg,Stim\r14y10g15b15.jpeg,04,14,16,10,13,15,13,15,4,-2,1,0,1,0,1,1.515,2.71,1.391,0.0,1,blå
33,10,12,Female,Female,26,24,Stim\r09y17g32b21.jpeg,Stim\r06y36g16b14.jpeg,09,06,17,36,32,16,21,14,-2,-2,0,0,1,1,0,1.426,1.289,0,0.0,1,blå
34,10,12,Female,Female,26,24,Stim\r07y02g03b06.jpeg,Stim\r09y15g18b07.jpeg,07,09,02,15,03,18,06,07,3,2,0,0,1,1,0,1.392,1.987,0,0.0,1,blå
35,10,12,Female,Female,26,24,Stim\r21y24g16b04.jpeg,Stim\r09y02g05b02.jpeg,21,09,24,02,16,05,04,02,4,-1,1,0,0,1,0,1.376,2.016,1.298,0.0,1,blå
36,10,12,Female,Female,26,24,Stim\r17y12g19b18.jpeg,Stim\r12y07g07b17.jpeg,17,12,12,07,19,07,18,17,3,2,0,0,0,0,0,1.085,1.049,0,0.0,1,blå
37,10,12,Female,Female,26,24,Stim\r08y09g09b11.jpeg,Stim\r06y36g16b14.jpeg,08,06,09,36,09,16,11,14,1,1,0,0,1,1,0,1.037,2.133,0,0.0,1,blå
38,10,12,Female,Female,26,24,Stim\r07y06g08b05.jpeg,Stim\r21y31g06b08.jpeg,07,21,06,31,08,06,05,08,-2,-2,0,0,0,0,0,1.665,1.146,0,0.0,1,blå
39,10,12,Female,Female,26,24,Stim\r19y15g35b05.jpeg,Stim\r08y12g20b03.jpeg,19,08,15,12,35,20,05,03,1,-1,-1,0,0,1,1,5.523,1.879,1.709,0.0,1,blå
40,10,12,Female,Female,26,24,Stim\r14y10g15b15.jpeg,Stim\r22y35g09b11.jpeg,14,22,10,35,15,09,15,11,-1,-1,0,0,1,1,0,1.263,2.008,0,0.0,1,blå
41,10,12,Female,Female,26,24,Stim\r04y28g27b06.jpeg,Stim\r10y03g03b07.jpeg,04,10,28,03,27,03,06,07,4,-1,1,0,1,0,1,1.446,1.895,3.406,0.0,1,blå
42,10,12,Female,Female,26,24,Stim\r02y19g24b04.jpeg,Stim\r01y27g01b01.jpeg,02,01,19,27,24,01,04,01,-1,-4,0,0,1,1,0,1.075,1.649,0,0.0,1,blå
43,10,12,Female,Female,26,24,Stim\r13y24g05b28.jpeg,Stim\r21y01g04b27.jpeg,13,21,24,01,05,04,28,27,3,1,0,0,0,0,0,1.28,2.154,0,0.0,1,blå
44,10,12,Female,Female,26,24,Stim\r08y23g10b29.jpeg,Stim\r07y14g27b22.jpeg,08,07,23,14,10,27,29,22,3,-2,-1,0,0,1,1,1.161,1.125,2.392,0.0,1,blå
45,10,12,Female,Female,26,24,Stim\r17y07g07b24.jpeg,Stim\r12y12g14b26.jpeg,17,12,07,12,07,14,24,26,-3,-2,0,0,0,0,0,2.098,2.227,0,0.0,1,blå
46,10,12,Female,Female,26,24,Stim\r18y19g14b27.jpeg,Stim\r20y04g39b23.jpeg,18,20,19,04,14,39,27,23,-1,-3,0,0,1,1,0,1.179,1.16,0,0.0,1,blå
47,10,12,Female,Female,26,24,Stim\r03y03g02b05.jpeg,Stim\r13y21g23b09.jpeg,03,13,03,21,02,23,05,09,3,1,0,0,1,1,0,1.258,2.138,0,0.0,1,blå
48,10,12,Female,Female,26,24,Stim\r10y13g07b36.jpeg,Stim\r09y06g26b32.jpeg,10,09,13,06,07,26,36,32,4,-4,0,1,0,1,0,1.684,1.548,0,11.35,1,blå
49,10,12,Female,Female,26,24,Stim\r16y21g04b04.jpeg,Stim\r07y14g27b22.jpeg,16,07,21,14,04,27,04,22,-1,-4,0,0,1,1,0,1.109,1.556,0,0.0,1,gul
50,10,12,Female,Female,26,24,Stim\r22y23g20b06.jpeg,Stim\r02y19g24b04.jpeg,22,02,23,19,20,24,06,04,-3,-2,0,0,1,1,0,1.227,1.052,0,0.0,1,gul
51,10,12,Female,Female,26,24,Stim\r15y17g24b30.jpeg,Stim\r22y23g20b06.jpeg,15,22,17,23,24,20,30,06,4,2,0,0,1,1,0,1.109,0.954,0,0.0,1,gul
52,10,12,Female,Female,26,24,Stim\r04y28g27b06.jpeg,Stim\r17y22g16b15.jpeg,04,17,28,22,27,16,06,15,-3,-3,0,0,1,1,0,1.192,1.339,0,0.0,1,gul
53,10,12,Female,Female,26,24,Stim\r10y37g07b02.jpeg,Stim\r13y33g08b23.jpeg,10,13,37,33,07,08,02,23,-4,-1,0,0,1,1,0,1.114,1.206,0,0.0,1,gul
54,10,12,Female,Female,26,24,Stim\r06y36g16b14.jpeg,Stim\r04y39g24b15.jpeg,06,04,36,39,16,24,14,15,4,3,0,0,1,1,0,1.192,1.139,0,0.0,1,gul
55,10,12,Female,Female,26,24,Stim\r21y01g04b27.jpeg,Stim\r15y05g12b10.jpeg,21,15,01,05,04,12,27,10,4,4,0,0,1,1,0,1.068,1.198,0,0.0,1,gul
56,10,12,Female,Female,26,24,Stim\r08y23g10b29.jpeg,Stim\r10y27g22b14.jpeg,08,10,23,27,10,22,29,14,3,-1,0,1,1,0,1,1.274,1.671,0,3.096,1,gul
57,10,12,Female,Female,26,24,Stim\r10y13g07b36.jpeg,Stim\r07y14g27b22.jpeg,10,07,13,14,07,27,36,22,3,1,0,0,1,1,0,0.978,1.658,0,0.0,1,gul
58,10,12,Female,Female,26,24,Stim\r18y13g28b06.jpeg,Stim\r19y15g35b05.jpeg,18,19,13,15,28,35,06,05,3,1,0,0,1,1,0,0.918,1.065,0,0.0,1,gul
59,10,12,Female,Female,26,24,Stim\r04y16g13b13.jpeg,Stim\r14y12g04b29.jpeg,04,14,16,12,13,04,13,29,-2,-3,0,0,1,1,0,1.705,1.4,0,0.0,1,gul
60,10,12,Female,Female,26,24,Stim\r10y03g03b07.jpeg,Stim\r21y01g04b27.jpeg,10,21,03,01,03,04,07,27,-2,-3,0,0,1,1,0,1.243,1.656,0,0.0,1,gul
61,10,12,Female,Female,26,24,Stim\r14y12g04b29.jpeg,Stim\r18y13g28b06.jpeg,14,18,12,13,04,28,29,06,-2,3,0,1,0,1,1,0.982,1.48,0,4.282,1,gul
62,10,12,Female,Female,26,24,Stim\r09y17g32b21.jpeg,Stim\r17y20g40b07.jpeg,09,17,17,20,32,40,21,07,-1,-2,0,0,0,0,0,1.297,1.324,0,0.0,1,gul
63,10,12,Female,Female,26,24,Stim\r03y06g12b09.jpeg,Stim\r10y03g03b07.jpeg,03,10,06,03,12,03,09,07,2,-2,-1,0,0,1,1,0.854,1.219,1.471,0.0,1,gul
