,SubjectID_left,SubjectID_right,Gender_left,Gender_right,Age_left,Age_right,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Round,Block
0,63,64,Male,Female,23,20,Stim\r06y19g29b08.jpeg,Stim\r07y14g27b22.jpeg,06,07,19,14,29,27,08,22,-2,-2,0,0,0,0,0,1.668,4.329,0,0,1,rød
1,63,64,Male,Female,23,20,Stim\r05y28g23b30.jpeg,Stim\r09y15g18b07.jpeg,05,09,28,15,23,18,30,07,2,-2,1,0,1,0,1,1.698,3.811,6.162,0,1,rød
2,63,64,Male,Female,23,20,Stim\r16y21g04b04.jpeg,Stim\r19y10g06b15.jpeg,16,19,21,10,04,06,04,15,-2,2,-1,0,0,1,0,1.86,2.406,3.346,0,1,rød
3,63,64,Male,Female,23,20,Stim\r21y31g06b08.jpeg,Stim\r20y04g39b23.jpeg,21,20,31,04,06,39,08,23,2,2,0,0,0,0,0,2.637,2.868,0,0,1,rød
4,63,64,Male,Female,23,20,Stim\r21y24g16b04.jpeg,Stim\r17y20g40b07.jpeg,21,17,24,20,16,40,04,07,2,-1,-1,0,0,1,1,2.711,2.496,2.716,0,1,rød
5,63,64,Male,Female,23,20,Stim\r07y02g03b06.jpeg,Stim\r10y13g07b36.jpeg,07,10,02,13,03,07,06,36,2,1,0,0,1,1,0,2.473,3.803,0,0,1,rød
6,63,64,Male,Female,23,20,Stim\r10y03g03b07.jpeg,Stim\r14y20g16b10.jpeg,10,14,03,20,03,16,07,10,-1,1,-1,0,0,1,0,3.828,2.325,3.054,0,1,rød
7,63,64,Male,Female,23,20,Stim\r11y26g25b38.jpeg,Stim\r12y12g14b26.jpeg,11,12,26,12,25,14,38,26,-2,-1,0,0,0,0,0,3.307,2.854,0,0,1,rød
8,63,64,Male,Female,23,20,Stim\r05y09g02b34.jpeg,Stim\r01y27g01b01.jpeg,05,01,09,27,02,01,34,01,-2,1,0,-1,1,0,1,1.623,2.8,0,3.511,1,rød
9,63,64,Male,Female,23,20,Stim\r08y23g10b29.jpeg,Stim\r12y07g07b17.jpeg,08,12,23,07,10,07,29,17,1,1,0,0,1,1,0,3.539,3.468,0,0,1,rød
10,63,64,Male,Female,23,20,Stim\r17y20g40b07.jpeg,Stim\r21y31g06b08.jpeg,17,21,20,31,40,06,07,08,-4,-1,0,0,0,0,0,2.022,3.467,0,0,1,rød
11,63,64,Male,Female,23,20,Stim\r22y23g20b06.jpeg,Stim\r21y31g06b08.jpeg,22,21,23,31,20,06,06,08,-4,-1,0,0,1,1,0,1.318,2.865,0,0,1,rød
12,63,64,Male,Female,23,20,Stim\r17y11g38b07.jpeg,Stim\r15y16g12b03.jpeg,17,15,11,16,38,12,07,03,-1,-2,0,0,1,1,0,2.176,1.74,0,0,1,rød
13,63,64,Male,Female,23,20,Stim\r04y28g27b06.jpeg,Stim\r12y09g30b18.jpeg,04,12,28,09,27,30,06,18,-1,2,0,1,0,1,1,2.427,2.219,0,6.281,1,rød
14,63,64,Male,Female,23,20,Stim\r11y10g06b19.jpeg,Stim\r07y06g08b05.jpeg,11,07,10,06,06,08,19,05,4,-1,1,0,0,1,0,3.167,2.378,2.061,0,1,rød
