,SubjectID_left,SubjectID_right,Gender_left,Gender_right,Age_left,Age_right,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Round,Block
0,60,58,Female,Female,21,21,Stim\r17y22g16b15.jpeg,Stim\r08y12g20b03.jpeg,17,08,22,12,16,20,15,03,-3,-2,0,0,1,1,0,5.28,4.944,0,0,1,rød
1,60,58,Female,Female,21,21,Stim\r05y28g23b30.jpeg,Stim\r07y02g03b06.jpeg,05,07,28,02,23,03,30,06,2,-3,-1,0,1,0,0,5.194,6.014,8.95,0,1,rød
2,60,58,Female,Female,21,21,Stim\r07y06g08b05.jpeg,Stim\r09y02g05b02.jpeg,07,09,06,02,08,05,05,02,-3,1,0,-1,0,1,0,3.858,4.297,0,8.589,1,rød
3,60,58,Female,Female,21,21,Stim\r15y05g12b10.jpeg,Stim\r08y12g20b03.jpeg,15,08,05,12,12,20,10,03,-3,-3,0,0,1,1,0,5.658,4.262,0,0,1,rød
4,60,58,Female,Female,21,21,Stim\r09y15g18b07.jpeg,Stim\r12y07g16b25.jpeg,09,12,15,07,18,16,07,25,2,3,0,0,1,1,0,5.818,5.066,0,0,1,rød
5,60,58,Female,Female,21,21,Stim\r06y19g29b08.jpeg,Stim\r08y23g10b29.jpeg,06,08,19,23,29,10,08,29,-2,-1,0,0,0,0,0,3.225,4.104,0,0,1,rød
6,60,58,Female,Female,21,21,Stim\r01y27g01b01.jpeg,Stim\r02y19g24b04.jpeg,01,02,27,19,01,24,01,04,3,2,0,0,1,1,0,3.277,2.139,0,0,1,rød
7,60,58,Female,Female,21,21,Stim\r03y03g02b05.jpeg,Stim\r10y02g36b05.jpeg,03,10,03,02,02,36,05,05,-2,4,1,0,0,1,1,3.949,2.194,5.702,0,1,rød
8,60,58,Female,Female,21,21,Stim\r06y14g31b25.jpeg,Stim\r10y03g03b07.jpeg,06,10,14,03,31,03,25,07,3,-3,0,1,1,0,1,4.645,3.007,0,11.343,1,rød
9,60,58,Female,Female,21,21,Stim\r18y19g14b27.jpeg,Stim\r17y12g19b18.jpeg,18,17,19,12,14,19,27,18,3,-2,1,0,0,1,0,2.959,1.99,7.265,0,1,rød
10,60,58,Female,Female,21,21,Stim\r22y23g20b06.jpeg,Stim\r20y04g39b23.jpeg,22,20,23,04,20,39,06,23,3,-3,0,1,0,1,0,2.398,2.433,0,10.207,1,rød
11,60,58,Female,Female,21,21,Stim\r08y09g09b11.jpeg,Stim\r10y13g07b36.jpeg,08,10,09,13,09,07,11,36,-3,2,0,-1,0,1,0,3.845,3.16,0,5.954,1,rød
12,60,58,Female,Female,21,21,Stim\r12y07g16b25.jpeg,Stim\r15y16g12b03.jpeg,12,15,07,16,16,12,25,03,2,-3,0,-1,1,0,0,3.505,2.4,0,11.984,1,rød
13,60,58,Female,Female,21,21,Stim\r12y12g14b26.jpeg,Stim\r21y01g04b27.jpeg,12,21,12,01,14,04,26,27,2,2,0,0,1,1,0,3.575,2.901,0,0,1,rød
14,60,58,Female,Female,21,21,Stim\r17y07g07b24.jpeg,Stim\r08y09g09b11.jpeg,17,08,07,09,07,09,24,11,-2,-3,0,0,1,1,0,3.627,2.395,0,0,1,rød
15,60,58,Female,Female,21,21,Stim\r04y39g24b15.jpeg,Stim\r08y23g10b29.jpeg,04,08,39,23,24,10,15,29,2,4,0,0,1,1,0,2.017,3.882,0,0,1,rød
16,60,58,Female,Female,21,21,Stim\r07y14g27b22.jpeg,Stim\r10y02g36b05.jpeg,07,10,14,02,27,36,22,05,-3,4,0,1,0,1,1,5.851,2.596,0,7.768,1,rød
17,60,58,Female,Female,21,21,Stim\r10y03g03b07.jpeg,Stim\r03y06g12b09.jpeg,10,03,03,06,03,12,07,09,-2,-2,0,0,1,1,0,2.344,4.824,0,0,1,rød
18,60,58,Female,Female,21,21,Stim\r08y12g20b03.jpeg,Stim\r11y10g06b19.jpeg,08,11,12,10,20,06,03,19,3,4,0,0,1,1,0,3.013,2.639,0,0,1,rød
19,60,58,Female,Female,21,21,Stim\r14y08g21b39.jpeg,Stim\r10y27g22b14.jpeg,14,10,08,27,21,22,39,14,-2,1,0,-1,1,0,1,3.71,2.569,0,5.938,1,rød
20,60,58,Female,Female,21,21,Stim\r14y12g04b29.jpeg,Stim\r17y12g19b18.jpeg,14,17,12,12,04,19,29,18,2,2,0,0,1,1,0,2.613,2.392,0,0,1,rød
21,60,58,Female,Female,21,21,Stim\r05y40g33b16.jpeg,Stim\r03y06g12b09.jpeg,05,03,40,06,33,12,16,09,3,-3,-1,0,0,1,1,4.034,2.93,7.334,0,1,rød
22,60,58,Female,Female,21,21,Stim\r15y17g24b30.jpeg,Stim\r12y12g14b26.jpeg,15,12,17,12,24,14,30,26,-3,-2,0,0,1,1,0,7.416,5.51,0,0,1,rød
23,60,58,Female,Female,21,21,Stim\r11y26g25b38.jpeg,Stim\r08y09g09b11.jpeg,11,08,26,09,25,09,38,11,4,3,0,0,0,0,0,3.39,2.801,0,0,1,rød
24,60,58,Female,Female,21,21,Stim\r10y07g11b10.jpeg,Stim\r17y11g38b07.jpeg,10,17,07,11,11,38,10,07,3,4,0,0,1,1,0,2.539,2.063,0,0,1,rød
25,60,58,Female,Female,21,21,Stim\r22y02g34b05.jpeg,Stim\r03y06g12b09.jpeg,22,03,02,06,34,12,05,09,4,4,0,0,1,1,0,2.24,2.385,0,0,1,blå
26,60,58,Female,Female,21,21,Stim\r07y06g08b05.jpeg,Stim\r22y35g09b11.jpeg,07,22,06,35,08,09,05,11,-3,3,1,0,0,1,1,7.085,1.775,2.837,0,1,blå
27,60,58,Female,Female,21,21,Stim\r21y03g15b37.jpeg,Stim\r15y17g24b30.jpeg,21,15,03,17,15,24,37,30,4,-3,-1,0,0,1,1,2.868,1.997,3.097,0,1,blå
28,60,58,Female,Female,21,21,Stim\r05y28g23b30.jpeg,Stim\r10y13g07b36.jpeg,05,10,28,13,23,07,30,36,3,3,0,0,1,1,0,2.821,2.133,0,0,1,blå
29,60,58,Female,Female,21,21,Stim\r17y11g38b07.jpeg,Stim\r21y24g16b04.jpeg,17,21,11,24,38,16,07,04,-4,2,0,-1,1,0,1,2.606,3.198,0,3.887,1,blå
30,60,58,Female,Female,21,21,Stim\r10y03g03b07.jpeg,Stim\r22y23g20b06.jpeg,10,22,03,23,03,20,07,06,-3,3,0,-1,1,0,1,3.029,2.258,0,3.181,1,blå
31,60,58,Female,Female,21,21,Stim\r17y22g16b15.jpeg,Stim\r12y07g07b17.jpeg,17,12,22,07,16,07,15,17,-3,3,-1,0,0,1,0,3.604,2.301,8.219,0,1,blå
32,60,58,Female,Female,21,21,Stim\r04y28g27b06.jpeg,Stim\r09y07g06b09.jpeg,04,09,28,07,27,06,06,09,3,3,0,0,1,1,0,4.035,3.815,0,0,1,blå
33,60,58,Female,Female,21,21,Stim\r11y13g22b35.jpeg,Stim\r11y26g25b38.jpeg,11,11,13,26,22,25,35,38,-3,-3,0,0,0,0,0,4.357,2.78,0,0,1,blå
34,60,58,Female,Female,21,21,Stim\r12y07g07b17.jpeg,Stim\r19y10g06b15.jpeg,12,19,07,10,07,06,17,15,4,-3,0,1,0,1,0,2.478,2.458,0,4.045,1,blå
35,60,58,Female,Female,21,21,Stim\r10y13g07b36.jpeg,Stim\r15y17g24b30.jpeg,10,15,13,17,07,24,36,30,3,4,0,0,0,0,0,2.169,2.104,0,0,1,blå
36,60,58,Female,Female,21,21,Stim\r22y23g20b06.jpeg,Stim\r07y06g08b05.jpeg,22,07,23,06,20,08,06,05,4,-3,-1,0,0,1,1,2.937,1.889,3.985,0,1,blå
37,60,58,Female,Female,21,21,Stim\r03y06g12b09.jpeg,Stim\r14y20g16b10.jpeg,03,14,06,20,12,16,09,10,3,-1,1,0,1,0,1,3.013,3.343,2.663,0,1,blå
38,60,58,Female,Female,21,21,Stim\r06y19g29b08.jpeg,Stim\r02y10g14b11.jpeg,06,02,19,10,29,14,08,11,-1,3,1,0,0,1,1,6.215,1.993,2.298,0,1,blå
39,60,58,Female,Female,21,21,Stim\r02y10g14b11.jpeg,Stim\r10y07g11b10.jpeg,02,10,10,07,14,11,11,10,-3,-3,0,0,1,1,0,5.912,3.164,0,0,1,blå
40,60,58,Female,Female,21,21,Stim\r03y03g02b05.jpeg,Stim\r02y19g24b04.jpeg,03,02,03,19,02,24,05,04,3,3,0,0,0,0,0,3.45,4.867,0,0,1,blå
41,60,58,Female,Female,21,21,Stim\r19y10g06b15.jpeg,Stim\r22y35g09b11.jpeg,19,22,10,35,06,09,15,11,-2,-3,0,0,1,1,0,3.62,2.613,0,0,1,blå
42,60,58,Female,Female,21,21,Stim\r07y02g03b06.jpeg,Stim\r15y05g12b10.jpeg,07,15,02,05,03,12,06,10,3,4,0,0,1,1,0,2.235,2.098,0,0,1,blå
43,60,58,Female,Female,21,21,Stim\r17y12g19b18.jpeg,Stim\r12y07g07b17.jpeg,17,12,12,07,19,07,18,17,3,3,0,0,0,0,0,3.754,1.632,0,0,1,blå
44,60,58,Female,Female,21,21,Stim\r21y24g16b04.jpeg,Stim\r09y02g05b02.jpeg,21,09,24,02,16,05,04,02,3,1,0,0,0,0,0,4.171,2.167,0,0,1,blå
45,60,58,Female,Female,21,21,Stim\r18y19g14b27.jpeg,Stim\r15y17g24b30.jpeg,18,15,19,17,14,24,27,30,3,-3,0,1,1,0,1,2.749,3.044,0,4.361,1,blå
46,60,58,Female,Female,21,21,Stim\r20y14g02b19.jpeg,Stim\r12y09g30b18.jpeg,20,12,14,09,02,30,19,18,2,-2,-1,0,0,1,1,2.236,2.266,6.85,0,1,blå
47,60,58,Female,Female,21,21,Stim\r12y07g16b25.jpeg,Stim\r18y19g14b27.jpeg,12,18,07,19,16,14,25,27,4,4,0,0,1,1,0,2.125,1.937,0,0,1,blå
48,60,58,Female,Female,21,21,Stim\r21y01g04b27.jpeg,Stim\r11y10g06b19.jpeg,21,11,01,10,04,06,27,19,4,3,0,0,0,0,0,1.991,3.336,0,0,1,blå
49,60,58,Female,Female,21,21,Stim\r09y15g18b07.jpeg,Stim\r03y11g01b26.jpeg,09,03,15,11,18,01,07,26,-3,-3,0,0,1,1,0,6.097,2.225,0,0,1,gul
50,60,58,Female,Female,21,21,Stim\r13y24g05b28.jpeg,Stim\r09y15g18b07.jpeg,13,09,24,15,05,18,28,07,3,-3,1,0,0,1,0,2.313,2.562,5.823,0,1,gul
51,60,58,Female,Female,21,21,Stim\r08y09g09b11.jpeg,Stim\r17y11g38b07.jpeg,08,17,09,11,09,38,11,07,4,3,0,0,1,1,0,2.4,1.979,0,0,1,gul
52,60,58,Female,Female,21,21,Stim\r11y14g08b23.jpeg,Stim\r14y20g16b10.jpeg,11,14,14,20,08,16,23,10,-2,-3,0,0,0,0,0,3.234,4.648,0,0,1,gul
53,60,58,Female,Female,21,21,Stim\r05y28g23b30.jpeg,Stim\r11y26g25b38.jpeg,05,11,28,26,23,25,30,38,-3,2,1,0,1,0,0,3.766,2.111,4.709,0,1,gul
