"","Row.Names","Slope_ranef_fixef_estimate"
"1","1_Michael",0.0652785128087221
"2","1_Oliver",0.0109190221331504
"3","10_andersweile",0.0522842634458478
"4","10_simonmoller",-0.00447640352480785
"5","11_andersweile",0.0630905896950361
"6","11_Matilde",0.0213916821578899
"7","12_simonmoller",0.0842080330332852
"8","12_Telma",0.0979016373511075
"9","13_Malte",0.056324062326891
"10","13_Sara",0.0625076151994081
"11","14_kenneth",-0.00129511013206392
"12","14_signekirk",0.0785108727814423
"13","15_kenneth",0.0536841587756272
"14","15_Malte",0.0401495941728423
"15","16_Sara",0.0727249470567615
"16","16_signekirk",0.0599123323115367
"17","17_Fred",0.0555719067636237
"18","17_seb",0.0698645657883406
"19","18_Ida",0.0929903742130363
"20","18_SigneR",0.036790916113601
"21","19_seb",0.126144675253366
"22","19_SigneR",0.0828670915903888
"23","2_Britta",0.0104396764620234
"24","2_Oliver",0.0463271870658034
"25","20_Fred",0.0930199756190086
"26","20_Ida",0.0589996685811971
"27","21_laura",-0.0146116428057975
"28","21_Toby",0.0774827459108108
"29","22_Karoline",0.0496689075582031
"30","22_Lasse",0.144366082927056
"31","23_Karoline",0.0701091636046042
"32","23_laura",0.0404686792623788
"33","24_Lasse",0.116270303213161
"34","24_Toby",0.108142067248216
"35","25_Amalie",0.0559873259343956
"36","25_Esben",-0.018998686627898
"37","26_Astrid",0.0170088528223529
"38","26_Simon",0.037287651248111
"39","27_Esben",-0.0230445503643069
"40","27_Simon",0.0437032917257908
"41","28_Amalie",0.0619684630030983
"42","28_Astrid",0.0532462091750149
"43","29_Emma",0.0525285841482134
"44","29_Theasmom",0.0957775095417492
"45","3_Britta",0.0971337580298899
"46","3_Katrine",0.0606465944923409
"47","30_Jan",0.0263045600187073
"48","30_John",-0.0187662221406023
"49","31_Emma",0.0645433561348452
"50","31_Jan",0.0568664187968033
"51","32_John",-0.0137476068455977
"52","32_Theasmom",0.0667070329479153
"53","33_Ane",0.0670950719905309
"54","33_Laurits",0.036627867144495
"55","34_Magnus",0.0370188354978245
"56","34_Nanna",0.0697424309043561
"57","35_Laurits",0.0824862790263516
"58","35_Magnus",0.104952127064669
"59","36_Ane",0.0667380484254866
"60","36_Nanna",0.0805658649964559
"61","37_andersh",0.0134350545181798
"62","37_larsk",0.106280814780551
"63","38_annas",0.0499765278922808
"64","38_anneed",0.083943878568112
"65","39_annas",0.0918491749742301
"66","39_larsk",0.0830094554355936
"67","4_Katrine",0.0758637374168706
"68","4_Michael",0.0275196326358725
"69","40_andersh",0.0410039890206693
"70","40_anneed",0.0957431479156721
"71","5_mikkel",0.150768692770995
"72","5_stephanie",0.0677592906083222
"73","6_emil",0.0513400247496337
"74","6_nina",0.083606565334468
"75","7_nina",0.11455428962337
"76","7_stephanie",0.0593273666856944
"77","8_emil",0.0407626799239315
"78","8_mikkel",0.0722150028821717
"79","9_Matilde",0.073630216932306
"80","9_Telma",0.0818374835362
