"","SubjectID_right_unique","Trial_right","SubjectID_left_unique","Trial_left","SubjectID_left","SubjectID_right","Gender_left","Gender_right","Age_left","Age_right","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response_left","Response_right","Joint_left","Joint_right","Correct_left","Correct_right","Correct_joint","RT_left","RT_right","RT_joint_left","RT_joint_right","Round","Block","group_id","diff","response_right_dummy","response_left_dummy","response_joint_dummy","chosen_leader","Leader_gender","Follower_gender","leader_behavior","Sensitivity_roll_left","Sensitivity_roll_right","skill_dif_roll","skill_dif_roll_c","Response_left_abs","Response_right_abs","z_Response_left_abs","z_Response_right_abs","conf_dif","conf_dif_c"
"1","1_1",11,"3_1",11,"3",1,"Male","Male",24,23,"Stim\r11y26g25b38.jpeg","Stim\r15y16g12b03.jpeg",11,15,26,16,25,12,38,3,3,-2,0,-1,1,0,0,2.409,1.473,0,4.129,1,"rød","3_1",4,0,1,0,"Right_lead","Male","Male","stick",0.200692698976875,0.197353700439115,0.983362630754471,-0.0166373692455287,3,2,0.75727357564213,0.316106376724322,0.666666666666667,-0.333333333333333
"2","1_1",12,"3_1",12,"3",1,"Male","Male",24,23,"Stim\r11y14g08b23.jpeg","Stim\r08y23g10b29.jpeg",11,8,14,23,8,10,23,29,-2,1,0,-1,1,0,1,2.381,1.775,0,4.168,1,"rød","3_1",-3,1,0,0,"Right_lead","Male","Male","surrender",0.214460777563092,0.20328643749589,0.947895646960831,-0.0521043530391688,2,1,-0.267273026697222,-1.29954843764443,0.5,-0.5
"3","1_1",13,"3_1",13,"3",1,"Male","Male",24,23,"Stim\r07y02g03b06.jpeg","Stim\r14y12g04b29.jpeg",7,14,2,12,3,4,6,29,-2,2,1,0,0,1,1,1.989,2.701,4.514,0,1,"rød","3_1",7,1,0,1,"Left_lead","Male","Male","surrender",0.208753747126687,0.2081390627555,1.00295323887333,0.0029532388733251,2,2,-0.267273026697222,0.316106376724322,1,0
"4","1_1",15,"3_1",15,"3",1,"Male","Male",24,23,"Stim\r13y33g08b23.jpeg","Stim\r11y13g22b35.jpeg",13,11,33,13,8,22,23,35,2,-1,1,0,0,1,0,1.078,1.825,1.666,0,1,"rød","3_1",-2,0,1,1,"Left_lead","Male","Male","stick",0.231161496453535,0.23956544412608,0.964920033842101,-0.0350799661578992,2,1,-0.267273026697222,-1.29954843764443,2,1
"5","1_1",16,"3_1",16,"3",1,"Male","Male",24,23,"Stim\r07y14g27b22.jpeg","Stim\r09y06g26b32.jpeg",7,9,14,6,27,26,22,32,2,-2,0,-1,1,0,0,1.699,1.592,0,2.427,1,"rød","3_1",2,0,1,0,"Right_lead","Male","Male","stick",0.221282071172015,0.22931945633019,1.03632189953576,0.0363218995357608,2,2,-0.267273026697222,0.316106376724322,1,0
"6","1_1",17,"3_1",17,"3",1,"Male","Male",24,23,"Stim\r08y09g09b11.jpeg","Stim\r09y06g26b32.jpeg",8,9,9,6,9,26,11,32,2,-2,-1,0,1,0,0,1.457,1.707,1.951,0,1,"rød","3_1",1,0,1,0,"Left_lead","Male","Male","surrender",0.22836403679227,0.2423157175157,0.942423542036533,-0.0575764579634669,2,2,-0.267273026697222,0.316106376724322,1,0
"7","1_1",19,"3_1",19,"3",1,"Male","Male",24,23,"Stim\r14y12g04b29.jpeg","Stim\r13y33g08b23.jpeg",14,13,12,33,4,8,29,23,2,-2,-1,0,0,1,1,1.322,1.768,3.525,0,1,"rød","3_1",-1,0,1,0,"Left_lead","Male","Male","surrender",0.239508803189642,0.24079569822725,0.994655656030892,-0.00534434396910821,2,2,-0.267273026697222,0.316106376724322,1,0
"8","1_1",2,"3_1",2,"3",1,"Male","Male",24,23,"Stim\r16y21g04b04.jpeg","Stim\r15y05g12b10.jpeg",16,15,21,5,4,12,4,10,3,-2,1,0,0,1,0,1.888,1.867,6.121,0,1,"rød","3_1",-1,0,1,1,"Left_lead","Male","Male","stick",NA,NA,NA,NA,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"9","1_1",21,"3_1",21,"3",1,"Male","Male",24,23,"Stim\r22y35g09b11.jpeg","Stim\r18y19g14b27.jpeg",22,18,35,19,9,14,11,27,-2,2,0,1,1,0,0,1.011,1.543,0,2.397,1,"rød","3_1",-4,1,0,1,"Right_lead","Male","Male","stick",0.244418203856565,0.245243996217972,1.00337860416441,0.00337860416440838,2,2,-0.267273026697222,0.316106376724322,1,0
"10","1_1",22,"3_1",22,"3",1,"Male","Male",24,23,"Stim\r21y03g15b37.jpeg","Stim\r18y13g28b06.jpeg",21,18,3,13,15,28,37,6,3,-2,1,0,0,1,0,1.607,1.42,1.824,0,1,"rød","3_1",-3,0,1,1,"Left_lead","Male","Male","stick",0.255607633780135,0.25882260750595,0.987578466360435,-0.0124215336395646,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"11","1_1",23,"3_1",23,"3",1,"Male","Male",24,23,"Stim\r18y19g14b27.jpeg","Stim\r19y10g06b15.jpeg",18,19,19,10,14,6,27,15,1,-2,-1,0,1,0,0,1.577,0.94,1.044,0,1,"rød","3_1",1,0,1,0,"Left_lead","Male","Male","surrender",0.256294087042204,0.257325982130524,0.995989930438518,-0.00401006956148153,1,2,-1.29181962903657,0.316106376724322,0.5,-0.5
"12","1_1",24,"3_1",24,"3",1,"Male","Male",24,23,"Stim\r14y08g21b39.jpeg","Stim\r12y12g14b26.jpeg",14,12,8,12,21,14,39,26,2,-2,-1,0,0,1,1,2.765,1.178,1.33,0,1,"rød","3_1",-2,0,1,0,"Left_lead","Male","Male","surrender",0.26312212312285,0.26526615600637,0.991917427704315,-0.00808257229568521,2,2,-0.267273026697222,0.316106376724322,1,0
"13","1_1",25,"3_1",25,"3",1,"Male","Male",24,23,"Stim\r03y03g02b05.jpeg","Stim\r04y28g27b06.jpeg",3,4,3,28,2,27,5,6,4,-2,1,0,1,0,1,1.327,1.206,1.14,0,1,"rød","3_1",1,0,1,1,"Left_lead","Male","Male","stick",0.270069023973785,0.270480681049725,0.998478053684491,-0.00152194631550895,4,2,1.78182017798148,0.316106376724322,2,1
"14","1_1",27,"3_1",27,"3",1,"Male","Male",24,23,"Stim\r12y09g30b18.jpeg","Stim\r20y14g02b19.jpeg",12,20,9,14,30,2,18,19,3,-2,0,1,1,0,1,1.325,1.271,0,1.764,1,"blå","3_1",1,0,1,1,"Right_lead","Male","Male","surrender",0.25137719355876,0.25706007636978,1.02260699441571,0.0226069944157112,3,2,0.75727357564213,0.316106376724322,0.666666666666667,-0.333333333333333
"15","1_1",29,"3_1",29,"3",1,"Male","Male",24,23,"Stim\r12y07g07b17.jpeg","Stim\r09y17g32b21.jpeg",12,9,7,17,7,32,17,21,-2,3,1,0,0,1,1,2.47,3.249,1.474,0,1,"blå","3_1",4,1,0,1,"Left_lead","Male","Male","surrender",0.237488126509546,0.241271422497463,0.984319336501791,-0.0156806634982093,2,3,-0.267273026697222,1.93176119109308,0.666666666666667,-0.333333333333333
"16","1_1",33,"3_1",33,"3",1,"Male","Male",24,23,"Stim\r21y31g06b08.jpeg","Stim\r22y35g09b11.jpeg",21,22,31,35,6,9,8,11,4,-2,1,0,1,0,1,1.193,1.087,1.563,0,1,"blå","3_1",3,0,1,1,"Left_lead","Male","Male","stick",0.21225756581105,0.220823534653106,0.961208985919402,-0.0387910140805978,4,2,1.78182017798148,0.316106376724322,2,1
"17","1_1",34,"3_1",34,"3",1,"Male","Male",24,23,"Stim\r13y33g08b23.jpeg","Stim\r17y22g16b15.jpeg",13,17,33,22,8,16,23,15,-1,2,1,0,1,0,0,2.316,3.728,1.064,0,1,"blå","3_1",-8,1,0,1,"Left_lead","Male","Male","surrender",0.198466091372605,0.20249809041985,0.980088705829841,-0.0199112941701586,1,2,-1.29181962903657,0.316106376724322,0.5,-0.5
"18","1_1",35,"3_1",35,"3",1,"Male","Male",24,23,"Stim\r11y10g06b19.jpeg","Stim\r09y17g32b21.jpeg",11,9,10,17,6,32,19,21,4,-2,1,0,1,0,1,1.103,0.949,1.025,0,1,"blå","3_1",2,0,1,1,"Left_lead","Male","Male","stick",0.158169228723142,0.179374666009675,0.881781314171817,-0.118218685828183,4,2,1.78182017798148,0.316106376724322,2,1
"19","1_1",36,"3_1",36,"3",1,"Male","Male",24,23,"Stim\r10y02g36b05.jpeg","Stim\r21y31g06b08.jpeg",10,21,2,31,36,6,5,8,2,-2,-1,0,1,0,0,1.329,1.975,3.581,0,1,"blå","3_1",3,0,1,0,"Left_lead","Male","Male","surrender",0.150703193753905,0.16261579527056,0.926743884277448,-0.0732561157225522,2,2,-0.267273026697222,0.316106376724322,1,0
"20","1_1",37,"3_1",37,"3",1,"Male","Male",24,23,"Stim\r09y06g26b32.jpeg","Stim\r03y11g01b26.jpeg",9,3,6,11,26,1,32,26,3,-2,1,0,0,1,0,1.549,2.378,1.316,0,1,"blå","3_1",-6,0,1,1,"Left_lead","Male","Male","stick",0.151778576654335,0.163850372843954,0.926324267805507,-0.0736757321944932,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"21","1_1",41,"3_1",41,"3",1,"Male","Male",24,23,"Stim\r09y17g32b21.jpeg","Stim\r20y14g02b19.jpeg",9,20,17,14,32,2,21,19,-3,1,-1,0,1,0,1,1.293,1.823,1.035,0,1,"blå","3_1",-2,1,0,0,"Left_lead","Male","Male","stick",0.153277330668415,0.164096113903138,0.934070448242857,-0.0659295517571431,3,1,0.75727357564213,-1.29954843764443,3,2
"22","1_1",42,"3_1",42,"3",1,"Male","Male",24,23,"Stim\r03y06g12b09.jpeg","Stim\r16y09g06b10.jpeg",3,16,6,9,12,6,9,10,-1,3,0,-1,0,1,0,1.07,1.38,0,5.163,1,"blå","3_1",1,1,0,0,"Right_lead","Male","Male","surrender",0.15392306563511,0.165581566626468,1.07574239080578,0.0757423908057786,1,3,-1.29181962903657,1.93176119109308,3,2
"23","1_1",43,"3_1",43,"3",1,"Male","Male",24,23,"Stim\r10y27g22b14.jpeg","Stim\r22y35g09b11.jpeg",10,22,27,35,22,9,14,11,2,-2,0,-1,0,1,1,1.15,2.212,0,4.827,1,"blå","3_1",-3,0,1,0,"Right_lead","Male","Male","stick",0.150375035201,0.16560341500695,1.10126933493711,0.101269334937111,2,2,-0.267273026697222,0.316106376724322,1,0
"24","1_1",45,"3_1",45,"3",1,"Male","Male",24,23,"Stim\r10y03g03b07.jpeg","Stim\r08y09g09b11.jpeg",10,8,3,9,3,9,7,11,-1,2,0,1,0,1,1,2.094,1.491,0,2.682,1,"blå","3_1",4,1,0,1,"Right_lead","Male","Male","stick",0.1873751321804,0.194553295449985,1.03830904979789,0.0383090497978891,1,2,-1.29181962903657,0.316106376724322,2,1
"25","1_1",46,"3_1",46,"3",1,"Male","Male",24,23,"Stim\r14y08g21b39.jpeg","Stim\r05y28g23b30.jpeg",14,5,8,28,21,23,39,30,2,-3,0,-1,0,1,1,1.401,1.326,0,2.181,1,"blå","3_1",-9,0,1,0,"Right_lead","Male","Male","stick",0.19292837582195,0.19753415910775,1.02387302161322,0.0238730216132157,2,3,-0.267273026697222,1.93176119109308,1.5,0.5
"26","1_1",47,"3_1",47,"3",1,"Male","Male",24,23,"Stim\r12y07g16b25.jpeg","Stim\r14y12g04b29.jpeg",12,14,7,12,16,4,25,29,4,-2,0,1,1,0,1,1.249,3.545,0,1.554,1,"blå","3_1",4,0,1,1,"Right_lead","Male","Male","surrender",0.19111033171535,0.19777484285595,1.03487258423331,0.0348725842333135,4,2,1.78182017798148,0.316106376724322,0.5,-0.5
"27","1_1",49,"3_1",49,"3",1,"Male","Male",24,23,"Stim\r16y09g06b10.jpeg","Stim\r21y31g06b08.jpeg",16,21,9,31,6,6,10,8,1,-2,-1,0,0,1,1,0.987,1.214,1.848,0,1,"blå","3_1",-2,0,1,0,"Left_lead","Male","Male","surrender",0.171413887758902,0.19790909171255,0.866124371930671,-0.133875628069329,1,2,-1.29181962903657,0.316106376724322,0.5,-0.5
"28","1_1",5,"3_1",5,"3",1,"Male","Male",24,23,"Stim\r20y14g02b19.jpeg","Stim\r21y01g04b27.jpeg",20,21,14,1,2,4,19,27,2,-1,0,-1,1,0,0,2.142,1.872,0,7.432,1,"rød","3_1",1,0,1,0,"Right_lead","Male","Male","stick",NA,NA,NA,NA,2,1,-0.267273026697222,-1.29954843764443,0.5,-0.5
"29","1_1",52,"3_1",52,"3",1,"Male","Male",24,23,"Stim\r06y14g31b25.jpeg","Stim\r09y15g18b07.jpeg",6,9,14,15,31,18,25,7,3,-1,1,0,1,0,1,1.654,2.367,1,0,1,"gul","3_1",1,0,1,1,"Left_lead","Male","Male","stick",0.15506090047485,0.205553820289245,0.754356694789988,-0.245643305210012,3,1,0.75727357564213,-1.29954843764443,3,2
"30","1_1",54,"3_1",54,"3",1,"Male","Male",24,23,"Stim\r06y19g29b08.jpeg","Stim\r22y23g20b06.jpeg",6,22,19,23,29,20,8,6,2,-3,-1,0,1,0,0,1.066,1.379,1.032,0,1,"gul","3_1",4,0,1,0,"Left_lead","Male","Male","surrender",0.16752923447463,0.191526919472734,0.874703331186192,-0.125296668813808,2,3,-0.267273026697222,1.93176119109308,0.666666666666667,-0.333333333333333
"31","1_1",59,"3_1",59,"3",1,"Male","Male",24,23,"Stim\r08y23g10b29.jpeg","Stim\r07y14g27b22.jpeg",8,7,23,14,10,27,29,22,2,-1,0,1,0,1,0,1.37,1.299,0,3.06,1,"gul","3_1",-9,0,1,1,"Right_lead","Male","Male","surrender",0.173688051972387,0.186641132683036,1.07457669404173,0.0745766940417312,2,1,-0.267273026697222,-1.29954843764443,0.5,-0.5
"32","1_1",62,"3_1",62,"3",1,"Male","Male",24,23,"Stim\r09y15g18b07.jpeg","Stim\r12y07g07b17.jpeg",9,12,15,7,18,7,7,17,-2,2,0,1,1,0,0,1.208,2.054,0,4.292,1,"gul","3_1",-8,1,0,1,"Right_lead","Male","Male","stick",0.199643771048325,0.21811438908283,1.09251787790581,0.0925178779058129,2,2,-0.267273026697222,0.316106376724322,1,0
"33","1_1",63,"3_1",63,"3",1,"Male","Male",24,23,"Stim\r19y10g06b15.jpeg","Stim\r14y08g21b39.jpeg",19,14,10,8,6,21,15,39,-1,1,0,-1,1,0,1,1.079,1.874,0,3.743,1,"gul","3_1",-2,1,0,0,"Right_lead","Male","Male","surrender",0.219783521858815,0.23286887980187,1.05953748412249,0.0595374841224938,1,1,-1.29181962903657,-1.29954843764443,1,0
"34","1_1",68,"3_1",68,"3",1,"Male","Male",24,23,"Stim\r04y39g24b15.jpeg","Stim\r13y33g08b23.jpeg",4,13,39,33,24,8,15,23,-4,3,-1,0,1,0,1,1.042,1.554,4.111,0,1,"gul","3_1",-6,1,0,0,"Left_lead","Male","Male","stick",0.268476032389222,0.25087255237086,1.07016901551007,0.0701690155100712,4,3,1.78182017798148,1.93176119109308,1.33333333333333,0.333333333333333
"35","1_1",7,"3_1",7,"3",1,"Male","Male",24,23,"Stim\r09y15g18b07.jpeg","Stim\r06y36g16b14.jpeg",9,6,15,36,18,16,7,14,-2,2,0,-1,1,0,1,1.693,2.856,0,4.031,1,"rød","3_1",-3,1,0,0,"Right_lead","Male","Male","surrender",NA,NA,NA,NA,2,2,-0.267273026697222,0.316106376724322,1,0
"36","1_1",71,"3_1",71,"3",1,"Male","Male",24,23,"Stim\r09y02g05b02.jpeg","Stim\r03y06g12b09.jpeg",9,3,2,6,5,12,2,9,-1,1,1,0,0,1,1,1.305,1.334,1.346,0,1,"gul","3_1",4,1,0,1,"Left_lead","Male","Male","surrender",0.232623143895682,0.21850809879027,1.0645973544393,0.064597354439297,1,1,-1.29181962903657,-1.29954843764443,1,0
"37","1_1",74,"3_1",74,"3",1,"Male","Male",24,23,"Stim\r11y10g06b19.jpeg","Stim\r05y09g02b34.jpeg",11,5,10,9,6,2,19,34,-2,1,-1,0,1,0,1,1.349,1.844,1.659,0,1,"grøn","3_1",-4,1,0,0,"Left_lead","Male","Male","stick",0.20012934583946,0.201515735509898,0.993120191498049,-0.00687980850195147,2,1,-0.267273026697222,-1.29954843764443,2,1
"38","1_1",8,"3_1",8,"3",1,"Male","Male",24,23,"Stim\r08y23g10b29.jpeg","Stim\r10y02g36b05.jpeg",8,10,23,2,10,36,29,5,2,-1,-1,0,1,0,0,2.192,2.055,1.961,0,1,"rød","3_1",2,0,1,0,"Left_lead","Male","Male","surrender",NA,NA,NA,NA,2,1,-0.267273026697222,-1.29954843764443,2,1
"39","1_1",80,"3_1",80,"3",1,"Male","Male",24,23,"Stim\r20y14g02b19.jpeg","Stim\r07y02g03b06.jpeg",20,7,14,2,2,3,19,6,-1,2,0,1,0,1,1,0.946,1.392,0,3.265,1,"grøn","3_1",1,1,0,1,"Right_lead","Male","Male","stick",0.15952896497717,0.190822651285185,1.19616303730481,0.196163037304814,1,2,-1.29181962903657,0.316106376724322,2,1
"40","1_1",85,"3_1",85,"3",1,"Male","Male",24,23,"Stim\r09y15g18b07.jpeg","Stim\r03y06g12b09.jpeg",9,3,15,6,18,12,7,9,-4,1,0,-1,1,0,1,1.008,0.854,0,1.531,1,"grøn","3_1",-6,1,0,0,"Right_lead","Male","Male","surrender",0.1784106724457,0.174350897089045,0.97724477296676,-0.0227552270332404,4,1,1.78182017798148,-1.29954843764443,0.25,-0.75
"41","1_1",87,"3_1",87,"3",1,"Male","Male",24,23,"Stim\r15y05g12b10.jpeg","Stim\r08y23g10b29.jpeg",15,8,5,23,12,10,10,29,-3,2,-1,0,1,0,1,1.011,1.223,1.38,0,1,"grøn","3_1",-2,1,0,0,"Left_lead","Male","Male","stick",0.2262581703599,0.229321533760555,0.98664162344277,-0.0133583765572298,3,2,0.75727357564213,0.316106376724322,1.5,0.5
"42","1_1",88,"3_1",88,"3",1,"Male","Male",24,23,"Stim\r19y10g06b15.jpeg","Stim\r10y13g07b36.jpeg",19,10,10,13,6,7,15,36,-1,2,0,1,0,1,1,1.203,1.201,0,3.777,1,"grøn","3_1",1,1,0,1,"Right_lead","Male","Male","stick",0.24194931794285,0.2289873478943,0.946426920485836,-0.0535730795141638,1,2,-1.29181962903657,0.316106376724322,2,1
"43","1_1",89,"3_1",89,"3",1,"Male","Male",24,23,"Stim\r13y33g08b23.jpeg","Stim\r06y36g16b14.jpeg",13,6,33,36,8,16,23,14,-1,1,0,-1,0,1,0,2.091,2.021,0,3.893,1,"grøn","3_1",8,1,0,0,"Right_lead","Male","Male","surrender",0.241741640652309,0.237340129515425,0.981792499111832,-0.0182075008881676,1,1,-1.29181962903657,-1.29954843764443,1,0
"44","1_1",90,"3_1",90,"3",1,"Male","Male",24,23,"Stim\r16y21g04b04.jpeg","Stim\r11y10g06b19.jpeg",16,11,21,10,4,6,4,19,-2,2,0,-1,0,1,0,1.27,1.25,0,3.656,1,"grøn","3_1",2,1,0,0,"Right_lead","Male","Male","surrender",0.256665975670545,0.2483849973289,0.967736361159632,-0.0322636388403675,2,2,-0.267273026697222,0.316106376724322,1,0
"45","1_1",95,"3_1",95,"3",1,"Male","Male",24,23,"Stim\r07y06g08b05.jpeg","Stim\r16y09g06b10.jpeg",7,16,6,9,8,6,5,10,-4,1,-1,0,1,0,1,1.435,2.048,0.868,0,1,"grøn","3_1",-2,1,0,0,"Left_lead","Male","Male","stick",0.2520537903238,0.270496867106985,0.931817780440723,-0.0681822195592769,4,1,1.78182017798148,-1.29954843764443,4,3
"46","1_1",97,"3_1",97,"3",1,"Male","Male",24,23,"Stim\r02y19g24b04.jpeg","Stim\r10y27g22b14.jpeg",2,10,19,27,24,22,4,14,-2,1,0,-1,1,0,1,1.173,1.483,0,3.596,1,"grøn","3_1",-2,1,0,0,"Right_lead","Male","Male","surrender",NA,NA,NA,NA,2,1,-0.267273026697222,-1.29954843764443,0.5,-0.5
"47","1_2",13,"4_2",13,"4",1,"Female","Male",23,23,"Stim\r05y40g33b16.jpeg","Stim\r04y16g13b13.jpeg",5,4,40,16,33,13,16,13,2,-1,1,0,0,1,0,1.47,2.899,3.892,0,2,"rød","4_1",-1,0,1,1,"Left_lead","Female","Male","stick",0.22091578126603,0.20558955203477,1.07454770478155,0.0745477047815541,2,1,-0.0770991079443883,-2.16887067387615,2,1
"48","1_2",15,"4_2",15,"4",1,"Female","Male",23,23,"Stim\r11y14g08b23.jpeg","Stim\r09y15g18b07.jpeg",11,9,14,15,8,18,23,7,-2,2,-1,0,1,0,1,1.539,2.302,3.311,0,2,"rød","4_1",-2,1,0,0,"Left_lead","Female","Male","stick",0.26126572799261,0.23538188909303,1.10996529511814,0.109965295118138,2,2,-0.0770991079443883,-0.619677335393187,1,0
"49","1_2",22,"4_2",22,"4",1,"Female","Male",23,23,"Stim\r20y04g39b23.jpeg","Stim\r14y10g15b15.jpeg",20,14,4,10,39,15,23,15,-1,3,0,1,1,0,0,1.342,1.971,0,2.794,2,"rød","4_1",-6,1,0,1,"Right_lead","Male","Female","stick",0.260264914102001,0.25866762250703,0.993862823959648,-0.00613717604035158,1,3,-1.04083795724924,0.92951600308978,3,2
"50","1_2",28,"4_2",28,"4",1,"Female","Male",23,23,"Stim\r10y07g11b10.jpeg","Stim\r10y03g03b07.jpeg",10,10,7,3,11,3,10,7,-2,3,1,0,1,0,0,1.933,2.262,3.532,0,2,"blå","4_1",-3,1,0,1,"Left_lead","Female","Male","surrender",0.255170066310166,0.246217144288373,1.03636189530046,0.0363618953004636,2,3,-0.0770991079443883,0.92951600308978,0.666666666666667,-0.333333333333333
"51","1_2",3,"4_2",3,"4",1,"Female","Male",23,23,"Stim\r21y31g06b08.jpeg","Stim\r20y14g02b19.jpeg",21,20,31,14,6,2,8,19,3,-3,0,1,0,1,0,1.192,3.086,0,3.017,2,"rød","4_1",-1,0,1,1,"Right_lead","Male","Female","surrender",NA,NA,NA,NA,3,3,0.886639741360465,0.92951600308978,1,0
"52","1_2",36,"4_2",36,"4",1,"Female","Male",23,23,"Stim\r21y01g04b27.jpeg","Stim\r15y17g24b30.jpeg",21,15,1,17,4,24,27,30,1,-3,-1,0,1,0,0,1.821,1.85,5.512,0,2,"blå","4_1",3,0,1,0,"Left_lead","Female","Male","surrender",0.17573361724605,0.1625259755417,1.08126480496628,0.0812648049662759,1,3,-1.04083795724924,0.92951600308978,0.333333333333333,-0.666666666666667
"53","1_2",38,"4_2",38,"4",1,"Female","Male",23,23,"Stim\r13y33g08b23.jpeg","Stim\r03y11g01b26.jpeg",13,3,33,11,8,1,23,26,2,-3,0,1,1,0,1,1.247,2.593,0,2.376,2,"blå","4_1",3,0,1,1,"Right_lead","Male","Female","surrender",0.158947870472665,0.14983107691372,0.942642870698209,-0.0573571293017913,2,3,-0.0770991079443883,0.92951600308978,1.5,0.5
"54","1_2",4,"4_2",4,"4",1,"Female","Male",23,23,"Stim\r14y10g15b15.jpeg","Stim\r21y24g16b04.jpeg",14,21,10,24,15,16,15,4,2,-2,0,-1,1,0,0,1.523,1.554,0,2.404,2,"rød","4_1",7,0,1,0,"Right_lead","Male","Female","stick",NA,NA,NA,NA,2,2,-0.0770991079443883,-0.619677335393187,1,0
