"","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"176",10,"10_621aac02",1,1,"Left_lead",0,0,0.880821863915836,-0.119178136084164,"0",0.116584588064515,"Male",0,28,"621aac02"
"184",10,"10_621aac02",2,2,"Left_lead",0,0,0.871133711401558,-0.128866288598442,"0",0.139687905045,"Male",0,35,"621aac02"
"187",10,"10_621aac02",-1,1,"Left_lead",0,0,0.929746294713964,-0.0702537052860356,"1",0.16897910921966,"Male",1,38,"621aac02"
"188",10,"10_621aac02",2,2,"Left_lead",0,0,0.945698209607142,-0.0543017903928577,"0",0.183785549051448,"Male",1,39,"621aac02"
"195",10,"10_621aac02",-3,3,"Left_lead",0,0,0.957581235123115,-0.0424187648768848,"0",0.14464125613065,"Male",0,45,"621aac02"
"196",10,"10_621aac02",-2,2,"Left_lead",0,0,0.99262627959955,-0.00737372040045037,"1",0.149844208265275,"Male",0,46,"621aac02"
"197",10,"10_621aac02",-3,3,"Left_lead",0,0,0.994670485873082,-0.00532951412691751,"0",0.15558400972576,"Male",0,47,"621aac02"
"198",10,"10_621aac02",1,1,"Left_lead",0,0,0.945558516985426,-0.0544414830145741,"1",0.14118642694561,"Male",0,48,"621aac02"
"208",10,"10_621aac02",2,2,"Left_lead",0,0,0.985419169978306,-0.0145808300216943,"1",0.13783026972282,"Male",1,57,"621aac02"
"212",10,"10_621aac02",-4,4,"Left_lead",0,0,0.941563520201674,-0.0584364797983256,"1",0.150503843091995,"Male",1,60,"621aac02"
"214",10,"10_621aac02",4,4,"Left_lead",0,0,0.862353425617669,-0.137646574382331,"0",0.14752663839887,"Male",1,62,"621aac02"
"217",10,"10_621aac02",4,4,"Left_lead",0,0,0.800057487410393,-0.199942512589607,"1",0.144096555956805,"Male",1,65,"621aac02"
"219",10,"10_621aac02",-4,4,"Left_lead",0,0,0.993186803968304,-0.00681319603169572,"0",0.150767098573,"Male",0,67,"621aac02"
"220",10,"10_621aac02",-1,1,"Left_lead",0,0,0.975052683909483,-0.0249473160905167,"1",0.150641957599335,"Male",1,68,"621aac02"
"231",10,"10_621aac02",2,2,"Left_lead",0,0,0.959276334637926,-0.0407236653620744,"0",0.180461029387055,"Male",0,78,"621aac02"
"237",10,"10_621aac02",4,4,"Left_lead",0,0,0.652944870498568,-0.347055129501432,"1",0.087354654845765,"Male",1,83,"621aac02"
"238",10,"10_621aac02",4,4,"Left_lead",0,0,0.566873361664621,-0.433126638335379,"0",0.0746318311948,"Male",1,84,"621aac02"
"239",10,"10_621aac02",-3,3,"Left_lead",0,0,0.597009141118705,-0.402990858881295,"1",0.07335511126555,"Male",0,85,"621aac02"
"240",10,"10_621aac02",2,2,"Left_lead",0,0,0.942386026207153,-0.0576139737928474,"1",0.1257485034418,"Male",0,86,"621aac02"
"245",10,"10_621aac02",-2,2,"Left_lead",0,0,1.27648770400016,0.276487704000158,"0",0.1481422375822,"Male",0,90,"621aac02"
"248",10,"10_621aac02",-3,3,"Left_lead",0,0,1.10840577673466,0.108405776734657,"0",0.21035718553578,"Male",1,93,"621aac02"
