,SubjectID_left,SubjectID_right,Gender_left,Gender_right,Age_left,Age_right,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Round,Block
0,34,35,Female,Male,23,24,Stim\r04y39g24b15.jpeg,Stim\r03y11g01b26.jpeg,04,03,39,11,24,01,15,26,-2,-2,0,0,1,1,0,1.729,1.775,0,0,2,rød
1,34,35,Female,Male,23,24,Stim\r18y19g14b27.jpeg,Stim\r15y05g12b10.jpeg,18,15,19,05,14,12,27,10,2,-4,0,-1,0,1,1,1.296,1.447,0,1.555,2,rød
2,34,35,Female,Male,23,24,Stim\r12y09g30b18.jpeg,Stim\r19y15g35b05.jpeg,12,19,09,15,30,35,18,05,2,4,0,0,1,1,0,1.021,1.378,0,0,2,rød
3,34,35,Female,Male,23,24,Stim\r16y21g04b04.jpeg,Stim\r17y20g40b07.jpeg,16,17,21,20,04,40,04,07,-2,-1,0,0,0,0,0,2.578,1.457,0,0,2,rød
4,34,35,Female,Male,23,24,Stim\r19y15g35b05.jpeg,Stim\r17y11g38b07.jpeg,19,17,15,11,35,38,05,07,3,-4,-1,0,0,1,1,1.072,1.235,4.326,0,2,rød
5,34,35,Female,Male,23,24,Stim\r02y10g14b11.jpeg,Stim\r04y28g27b06.jpeg,02,04,10,28,14,27,11,06,2,1,0,0,1,1,0,1.557,2.153,0,0,2,rød
6,34,35,Female,Male,23,24,Stim\r17y07g07b24.jpeg,Stim\r09y07g06b09.jpeg,17,09,07,07,07,06,24,09,-2,-4,0,0,1,1,0,1.82,1.364,0,0,2,rød
7,34,35,Female,Male,23,24,Stim\r06y19g29b08.jpeg,Stim\r10y07g11b10.jpeg,06,10,19,07,29,11,08,10,3,4,0,0,1,1,0,1.256,1.636,0,0,2,rød
8,34,35,Female,Male,23,24,Stim\r14y12g04b29.jpeg,Stim\r12y07g07b17.jpeg,14,12,12,07,04,07,29,17,4,4,0,0,0,0,0,1.697,1.644,0,0,2,rød
9,34,35,Female,Male,23,24,Stim\r02y19g24b04.jpeg,Stim\r03y03g02b05.jpeg,02,03,19,03,24,02,04,05,-2,1,0,-1,0,1,0,2.039,1.502,0,2.372,2,rød
10,34,35,Female,Male,23,24,Stim\r19y10g06b15.jpeg,Stim\r17y22g16b15.jpeg,19,17,10,22,06,16,15,15,-2,-4,0,0,1,1,0,1.321,1.501,0,0,2,rød
11,34,35,Female,Male,23,24,Stim\r03y03g02b05.jpeg,Stim\r11y14g08b23.jpeg,03,11,03,14,02,08,05,23,4,1,0,0,1,1,0,1.254,1.718,0,0,2,rød
12,34,35,Female,Male,23,24,Stim\r10y37g07b02.jpeg,Stim\r12y09g30b18.jpeg,10,12,37,09,07,30,02,18,3,2,0,0,1,1,0,2.081,2.163,0,0,2,rød
13,34,35,Female,Male,23,24,Stim\r10y13g07b36.jpeg,Stim\r12y07g07b17.jpeg,10,12,13,07,07,07,36,17,-2,4,1,0,0,1,1,1.743,2.057,2.342,0,2,rød
14,34,35,Female,Male,23,24,Stim\r17y22g16b15.jpeg,Stim\r18y13g28b06.jpeg,17,18,22,13,16,28,15,06,3,-4,-1,0,1,0,0,1.151,1.364,5.165,0,2,rød
15,34,35,Female,Male,23,24,Stim\r07y14g27b22.jpeg,Stim\r11y10g06b19.jpeg,07,11,14,10,27,06,22,19,-2,1,1,0,0,1,1,3.239,2.201,4.321,0,2,rød
16,34,35,Female,Male,23,24,Stim\r10y27g22b14.jpeg,Stim\r11y26g25b38.jpeg,10,11,27,26,22,25,14,38,3,3,0,0,1,1,0,1.575,1.404,0,0,2,rød
17,34,35,Female,Male,23,24,Stim\r12y07g07b17.jpeg,Stim\r08y12g20b03.jpeg,12,08,07,12,07,20,17,03,2,-3,-1,0,0,1,1,2.255,1.885,2.119,0,2,rød
18,34,35,Female,Male,23,24,Stim\r10y07g11b10.jpeg,Stim\r11y13g22b35.jpeg,10,11,07,13,11,22,10,35,2,1,0,0,1,1,0,1.371,1.699,0,0,2,rød
19,34,35,Female,Male,23,24,Stim\r09y17g32b21.jpeg,Stim\r17y11g38b07.jpeg,09,17,17,11,32,38,21,07,4,4,0,0,1,1,0,1.47,1.424,0,0,2,rød
20,34,35,Female,Male,23,24,Stim\r11y14g08b23.jpeg,Stim\r10y27g22b14.jpeg,11,10,14,27,08,22,23,14,-3,-2,0,0,1,1,0,1.255,1.668,0,0,2,rød
