"","X","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","confidence","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"172",172,10,"10_621aac02",-2,2,"Left_lead",0,0,0.777215806972537,-0.222784193027463,2,0,0.123661674008106,"Male",1,24,"621aac02"
"175",175,10,"10_621aac02",4,4,"Left_lead",0,0,1.00545966298461,0.00545966298460598,1,0,0.133121921715079,"Male",1,27,"621aac02"
"176",176,10,"10_621aac02",1,1,"Left_lead",0,0,0.786699688223443,-0.213300311776557,-1,0,0.0903203304033642,"Male",0,28,"621aac02"
"184",184,10,"10_621aac02",2,2,"Left_lead",0,0,1.01241175454752,0.012411754547516,-2,0,0.151269808320636,"Male",0,35,"621aac02"
"187",187,10,"10_621aac02",-1,1,"Left_lead",0,0,0.948339629613818,-0.0516603703861823,2,1,0.165438521854043,"Male",1,38,"621aac02"
"188",188,10,"10_621aac02",2,2,"Left_lead",0,0,0.963619136759349,-0.0363808632406507,2,0,0.167547361751542,"Male",1,39,"621aac02"
"195",195,10,"10_621aac02",-3,3,"Left_lead",0,0,1.38280497696886,0.38280497696886,-2,0,0.134587138011129,"Male",0,45,"621aac02"
"196",196,10,"10_621aac02",-2,2,"Left_lead",0,0,1.27906283460279,0.279062834602795,-2,1,0.154321642383593,"Male",0,46,"621aac02"
"197",197,10,"10_621aac02",-3,3,"Left_lead",0,0,1.62012540239942,0.620125402399416,-3,0,0.159920526296761,"Male",0,47,"621aac02"
"198",198,10,"10_621aac02",1,1,"Left_lead",0,0,1.2692021710839,0.269202171083897,-2,1,0.151355140582469,"Male",0,48,"621aac02"
"208",208,10,"10_621aac02",2,2,"Left_lead",0,0,1.13472932204606,0.134729322046057,2,1,0.157612103690321,"Male",1,57,"621aac02"
"212",212,10,"10_621aac02",-4,4,"Left_lead",0,0,0.978698894527441,-0.0213011054725595,2,1,0.163059308511978,"Male",1,60,"621aac02"
"214",214,10,"10_621aac02",4,4,"Left_lead",0,0,1.16473637304165,0.164736373041651,2,0,0.166235667589291,"Male",1,62,"621aac02"
"217",217,10,"10_621aac02",4,4,"Left_lead",0,0,1.28524638427123,0.285246384271226,2,1,0.152303738933747,"Male",1,65,"621aac02"
"219",219,10,"10_621aac02",-4,4,"Left_lead",0,0,1.34377392072641,0.343773920726405,-2,0,0.138643721240371,"Male",0,67,"621aac02"
"220",220,10,"10_621aac02",-1,1,"Left_lead",0,0,1.29743870050745,0.297438700507453,1,1,0.148035614107964,"Male",1,68,"621aac02"
"231",231,10,"10_621aac02",2,2,"Left_lead",0,0,0.909636611712768,-0.0903633882872323,-2,0,0.154125013721018,"Male",0,78,"621aac02"
"237",237,10,"10_621aac02",4,4,"Left_lead",0,0,1.03696542363831,0.0369654236383141,1,1,0.147629730328171,"Male",1,83,"621aac02"
"238",238,10,"10_621aac02",4,4,"Left_lead",0,0,1.11034242542102,0.110342425421018,2,0,0.147028064564152,"Male",1,84,"621aac02"
"239",239,10,"10_621aac02",-3,3,"Left_lead",0,0,1.23511534529945,0.235115345299447,-2,1,0.164018685771393,"Male",0,85,"621aac02"
"240",240,10,"10_621aac02",2,2,"Left_lead",0,0,1.1498364163734,0.149836416373402,-2,1,0.167173223980117,"Male",0,86,"621aac02"
"245",245,10,"10_621aac02",-2,2,"Left_lead",0,0,1.46447249459134,0.464472494591342,-2,0,0.20319012183062,"Male",0,90,"621aac02"
"248",248,10,"10_621aac02",-3,3,"Left_lead",0,0,1.11197586471685,0.111975864716845,3,0,0.20647169330336,"Male",1,93,"621aac02"
"251",251,10,"10_621aac02",-2,2,"Left_lead",0,0,0.986734742022114,-0.0132652579778859,-2,1,0.222320587083358,"Male",0,96,"621aac02"
"254",254,10,"10_621aac02",-3,3,"Left_lead",0,0,0.960840809988578,-0.0391591900114221,2,0,0.220336151074625,"Male",1,99,"621aac02"
"256",256,11,"11_621aac02",-2,2,"Left_lead",0,1,1.38149706533311,0.381497065333106,-2,1,0.113507278993785,"Male",0,10,"621aac02"
"262",262,11,"11_621aac02",1,1,"Left_lead",0,1,1.06823692039544,0.0682369203954392,1,1,0.207504741058388,"Male",1,105,"621aac02"
"264",264,11,"11_621aac02",3,3,"Left_lead",0,1,1.00143655432947,0.00143655432946588,-2,0,0.20895889369277,"Male",0,107,"621aac02"
"265",265,11,"11_621aac02",-3,3,"Left_lead",0,1,1.00013317992212,0.000133179922120918,-2,1,0.210802054327736,"Male",0,108,"621aac02"
"270",270,11,"11_621aac02",-3,3,"Left_lead",0,1,1.08124726908376,0.0812472690837569,2,0,0.179185300987276,"Male",1,112,"621aac02"
"273",273,11,"11_621aac02",4,4,"Left_lead",0,1,1.09650138808255,0.0965013880825498,2,1,0.161351024695432,"Male",1,115,"621aac02"
"274",274,11,"11_621aac02",-1,1,"Left_lead",0,1,1.06094461641478,0.0609446164147847,1,0,0.16482659427534,"Male",1,116,"621aac02"
"275",275,11,"11_621aac02",-4,4,"Left_lead",0,1,1.04248503355633,0.0424850335563343,2,0,0.169662501296763,"Male",1,117,"621aac02"
"283",283,11,"11_621aac02",3,3,"Left_lead",0,1,0.988922862929483,-0.0110771370705173,2,0,0.200707337303245,"Male",1,124,"621aac02"
"284",284,11,"11_621aac02",-4,4,"Left_lead",0,1,1.04154630507849,0.0415463050784937,-2,0,0.191493410348065,"Male",0,125,"621aac02"
"285",285,11,"11_621aac02",-2,2,"Left_lead",0,1,1.15699756459776,0.156997564597758,-2,0,0.178133560131242,"Male",0,126,"621aac02"
"286",286,11,"11_621aac02",-4,4,"Left_lead",0,1,1.12112168878337,0.121121688783373,2,0,0.182190661373495,"Male",1,127,"621aac02"
"293",293,11,"11_621aac02",-2,2,"Left_lead",0,1,1.06664815593332,0.0666481559333174,2,0,0.120940303970729,"Male",1,19,"621aac02"
"298",298,11,"11_621aac02",4,4,"Left_lead",0,1,0.494752935816935,-0.505247064183065,-2,0,0.0684594549665561,"Male",0,23,"621aac02"
"299",299,11,"11_621aac02",1,1,"Left_lead",0,1,0.641158593216189,-0.358841406783811,2,0,0.0802774341470652,"Male",1,24,"621aac02"
"308",308,11,"11_621aac02",4,4,"Left_lead",0,1,0.923170291444925,-0.0768297085550746,2,0,0.11277333096582,"Male",1,32,"621aac02"
"325",325,11,"11_621aac02",1,1,"Left_lead",0,1,1.00944080593394,0.00944080593393681,2,0,0.154488110621191,"Male",1,48,"621aac02"
"329",329,11,"11_621aac02",-3,3,"Left_lead",0,1,1.07067941038399,0.0706794103839903,-2,1,0.147832273799962,"Male",0,51,"621aac02"
"330",330,11,"11_621aac02",-2,2,"Left_lead",0,1,1.04496600066702,0.0449660006670225,2,0,0.132858665672898,"Male",1,52,"621aac02"
"334",334,11,"11_621aac02",2,2,"Left_lead",0,1,1.04002623272302,0.040026232723023,-1,1,0.155679238607613,"Male",0,56,"621aac02"
"335",335,11,"11_621aac02",-1,1,"Left_lead",0,1,1.05770170980454,0.0577017098045385,-2,0,0.156209861927947,"Male",0,57,"621aac02"
"341",341,11,"11_621aac02",-3,3,"Left_lead",0,1,0.939488827102042,-0.0605111728979582,2,0,0.130683779736548,"Male",1,62,"621aac02"
"345",345,11,"11_621aac02",-1,1,"Left_lead",0,1,1.04242811045267,0.0424281104526696,-1,1,0.114703469010144,"Male",0,66,"621aac02"
"355",355,11,"11_621aac02",-2,2,"Left_lead",0,1,1.06845652911035,0.0684565291103494,-1,0,0.184314623054709,"Male",0,75,"621aac02"
"356",356,11,"11_621aac02",-1,1,"Left_lead",0,1,1.02890424873675,0.0289042487367528,1,1,0.18334387523532,"Male",1,76,"621aac02"
"380",380,11,"11_621aac02",1,1,"Left_lead",0,1,1.00594096956767,0.00594096956767354,1,1,0.219179486597691,"Male",1,98,"621aac02"
"385",385,12,"12_3736e1b9",-4,4,"Left_lead",1,0,1.04348237056959,0.0434823705695899,-1,1,0.204303089153569,"Female",0,101,"3736e1b9"
"390",390,12,"12_3736e1b9",-4,4,"Left_lead",1,0,1.12511067241576,0.125110672415761,1,1,0.221317851955918,"Female",1,106,"3736e1b9"
"394",394,12,"12_3736e1b9",1,1,"Left_lead",1,0,1.02323569420703,0.0232356942070262,-1,0,0.110896543725637,"Female",0,11,"3736e1b9"
"406",406,12,"12_3736e1b9",-4,4,"Left_lead",1,0,0.967124935972586,-0.0328750640274138,1,1,0.194051787823455,"Female",1,120,"3736e1b9"
"412",412,12,"12_3736e1b9",1,1,"Left_lead",1,0,1.01277082923241,0.0127708292324142,1,1,0.184891043930144,"Female",1,126,"3736e1b9"
"413",413,12,"12_3736e1b9",-2,2,"Left_lead",1,0,1.01757234071389,0.0175723407138932,-1,1,0.186203043314847,"Female",0,127,"3736e1b9"
"419",419,12,"12_3736e1b9",-3,3,"Left_lead",1,0,0.99230808132583,-0.00769191867417018,-1,1,0.148953944794689,"Female",0,18,"3736e1b9"
"423",423,12,"12_3736e1b9",-1,1,"Left_lead",1,0,1.25642396191916,0.25642396191916,-2,0,0.173810273859975,"Female",0,21,"3736e1b9"
"429",429,12,"12_3736e1b9",-3,3,"Left_lead",1,0,1.05698123883149,0.0569812388314854,-1,1,0.205673774908497,"Female",0,27,"3736e1b9"
"446",446,12,"12_3736e1b9",1,1,"Left_lead",1,0,1.08705658913803,0.0870565891380291,-2,0,0.226998366205938,"Female",0,42,"3736e1b9"
"448",448,12,"12_3736e1b9",-3,3,"Left_lead",1,0,1.00008742629313,8.74262931305214e-05,2,0,0.211252485112078,"Female",1,44,"3736e1b9"
"453",453,12,"12_3736e1b9",3,3,"Left_lead",1,0,1.00526334182344,0.00526334182344201,1,1,0.127335566369596,"Female",1,49,"3736e1b9"
"464",464,12,"12_3736e1b9",2,2,"Left_lead",1,0,0.998044552162605,-0.00195544783739532,-1,1,0.176541775244095,"Female",0,59,"3736e1b9"
"469",469,12,"12_3736e1b9",4,4,"Left_lead",1,0,1.08279481627784,0.0827948162778449,1,1,0.213054548416537,"Female",1,63,"3736e1b9"
"481",481,12,"12_3736e1b9",4,4,"Left_lead",1,0,0.972082778704399,-0.0279172212956007,-1,0,0.195296182672728,"Female",0,74,"3736e1b9"
"485",485,12,"12_3736e1b9",1,1,"Left_lead",1,0,0.912603994362939,-0.0873960056370605,-1,1,0.18861312541384,"Female",0,78,"3736e1b9"
"486",486,12,"12_3736e1b9",-4,4,"Left_lead",1,0,0.848976870827223,-0.151023129172777,1,1,0.157209376993543,"Female",1,79,"3736e1b9"
"488",488,12,"12_3736e1b9",1,1,"Left_lead",1,0,0.809344654231351,-0.190655345768649,-1,1,0.156534240737884,"Female",0,80,"3736e1b9"
"493",493,12,"12_3736e1b9",-4,4,"Left_lead",1,0,0.68930693098877,-0.31069306901123,1,1,0.118122190828144,"Female",1,85,"3736e1b9"
"494",494,12,"12_3736e1b9",1,1,"Left_lead",1,0,0.756496525820766,-0.243503474179234,-1,1,0.12924338784865,"Female",0,86,"3736e1b9"
"497",497,12,"12_3736e1b9",-1,1,"Left_lead",1,0,0.867950324359213,-0.132049675640787,1,1,0.158055643663833,"Female",1,89,"3736e1b9"
"501",501,12,"12_3736e1b9",2,2,"Left_lead",1,0,0.918149027001075,-0.0818509729989246,1,1,0.175611023651031,"Female",1,92,"3736e1b9"
"502",502,12,"12_3736e1b9",-2,2,"Left_lead",1,0,0.977922066215375,-0.0220779337846246,-1,1,0.185441114746581,"Female",0,93,"3736e1b9"
"503",503,12,"12_3736e1b9",3,3,"Left_lead",1,0,0.904681414687899,-0.095318585312101,-1,1,0.183298666425814,"Female",0,94,"3736e1b9"
"508",508,12,"12_3736e1b9",-1,1,"Left_lead",1,0,0.986895311364012,-0.0131046886359879,1,1,0.221473924357141,"Female",1,99,"3736e1b9"
"510",510,13,"13_9bf9f38d",-3,3,"Left_lead",1,0,1.61284500143864,0.612845001438641,1,1,0.123738450023146,"Female",1,10,"9bf9f38d"
"514",514,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.40988561517966,0.409885615179665,-2,0,0.263322726756042,"Female",0,103,"9bf9f38d"
"515",515,13,"13_9bf9f38d",-1,1,"Left_lead",1,0,1.10881028358706,0.108810283587057,-1,1,0.247540132418045,"Female",0,104,"9bf9f38d"
"519",519,13,"13_9bf9f38d",4,4,"Left_lead",1,0,0.890470903243272,-0.109529096756728,-1,1,0.211923922626485,"Female",0,108,"9bf9f38d"
"521",521,13,"13_9bf9f38d",2,2,"Left_lead",1,0,1.44398660498003,0.443986604980029,1,0,0.126862886201221,"Female",1,11,"9bf9f38d"
"525",525,13,"13_9bf9f38d",2,2,"Left_lead",1,0,0.868294704905276,-0.131705295094724,1,0,0.135457037631681,"Female",1,113,"9bf9f38d"
"526",526,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.956884046193097,-0.043115953806903,-2,0,0.1423910987093,"Female",0,114,"9bf9f38d"
"536",536,13,"13_9bf9f38d",-2,2,"Left_lead",1,0,0.963652533523088,-0.0363474664769116,-2,1,0.193518812231244,"Female",0,123,"9bf9f38d"
"539",539,13,"13_9bf9f38d",3,3,"Left_lead",1,0,0.841980248286345,-0.158019751713655,-1,0,0.127919617003636,"Female",0,126,"9bf9f38d"
"542",542,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.43418990737658,0.434189907376579,1,1,0.169061475925917,"Female",1,14,"9bf9f38d"
"549",549,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.740764626636664,-0.259235373363336,1,1,0.133367977416732,"Female",1,20,"9bf9f38d"
"551",551,13,"13_9bf9f38d",-2,2,"Left_lead",1,0,0.801206189860733,-0.198793810139267,1,1,0.108905957865057,"Female",1,22,"9bf9f38d"
"556",556,13,"13_9bf9f38d",-1,1,"Left_lead",1,0,1.01441408832604,0.0144140883260355,-1,1,0.149166094984326,"Female",0,27,"9bf9f38d"
"561",561,13,"13_9bf9f38d",-1,1,"Left_lead",1,0,1.066322725871,0.0663227258709993,-2,0,0.13747999474625,"Female",0,31,"9bf9f38d"
"563",563,13,"13_9bf9f38d",1,1,"Left_lead",1,0,0.990432731786915,-0.00956726821308496,1,1,0.149168243165861,"Female",1,33,"9bf9f38d"
"571",571,13,"13_9bf9f38d",3,3,"Left_lead",1,0,1.26260019931317,0.262600199313167,1,1,0.235242115714757,"Female",1,40,"9bf9f38d"
"572",572,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.31214563633556,0.312145636335555,-1,0,0.218841595728474,"Female",0,41,"9bf9f38d"
"574",574,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.75810403623158,0.758104036231584,-1,0,0.25275626426055,"Female",0,43,"9bf9f38d"
"575",575,13,"13_9bf9f38d",4,4,"Left_lead",1,0,1.73504441598404,0.735044415984035,-1,1,0.219464435701861,"Female",0,44,"9bf9f38d"
"580",580,13,"13_9bf9f38d",-3,3,"Left_lead",1,0,1.2282629118291,0.228262911829095,-1,1,0.139102873169072,"Female",0,49,"9bf9f38d"
"583",583,13,"13_9bf9f38d",2,2,"Left_lead",1,0,1.12533709153139,0.125337091531394,2,0,0.147181173649012,"Female",1,51,"9bf9f38d"
"587",587,13,"13_9bf9f38d",-2,2,"Left_lead",1,0,0.9839763561251,-0.0160236438749003,-1,1,0.129730086850716,"Female",0,55,"9bf9f38d"
"590",590,13,"13_9bf9f38d",-2,2,"Left_lead",1,0,1.40981105752866,0.409811057528656,2,0,0.170422398880929,"Female",1,58,"9bf9f38d"
"595",595,13,"13_9bf9f38d",-3,3,"Left_lead",1,0,1.02725048031939,0.0272504803193871,1,1,0.156528885309539,"Female",1,62,"9bf9f38d"
"600",600,13,"13_9bf9f38d",2,2,"Left_lead",1,0,0.753630683748657,-0.246369316251343,-1,1,0.133089714400488,"Female",0,67,"9bf9f38d"
"601",601,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.72689300742426,-0.27310699257574,2,0,0.123881133474509,"Female",1,68,"9bf9f38d"
"604",604,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.867195759456515,-0.132804240543485,-1,1,0.143856386628566,"Female",0,70,"9bf9f38d"
"606",606,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.84773436887868,-0.15226563112132,1,1,0.153002023591579,"Female",1,72,"9bf9f38d"
"607",607,13,"13_9bf9f38d",-1,1,"Left_lead",1,0,0.837168068994182,-0.162831931005818,1,1,0.150002607648558,"Female",1,73,"9bf9f38d"
"613",613,13,"13_9bf9f38d",2,2,"Left_lead",1,0,0.944862537228804,-0.0551374627711959,-1,1,0.162120570266665,"Female",0,79,"9bf9f38d"
"627",627,13,"13_9bf9f38d",1,1,"Left_lead",1,0,1.00971936414816,0.00971936414815522,-1,1,0.183087393493641,"Female",0,91,"9bf9f38d"
"628",628,13,"13_9bf9f38d",-2,2,"Left_lead",1,0,1.04863671601273,0.0486367160127317,-1,1,0.193855925379557,"Female",0,92,"9bf9f38d"
"630",630,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.996605706962789,-0.00339429303721095,-2,0,0.19656376745103,"Female",0,94,"9bf9f38d"
"631",631,13,"13_9bf9f38d",-4,4,"Left_lead",1,0,1.04629741914895,0.0462974191489527,-1,1,0.217223418973416,"Female",0,95,"9bf9f38d"
"637",637,14,"14_d89b31da",-2,2,"Left_lead",0,1,1.17483159579863,0.174831595798627,-5,0,0.0739741779942638,"Male",0,10,"d89b31da"
"645",645,14,"14_d89b31da",2,2,"Left_lead",0,1,0.817134556664991,-0.182865443335009,-2,0,0.196974773175084,"Male",0,107,"d89b31da"
"654",654,14,"14_d89b31da",4,4,"Left_lead",0,1,0.890587418704384,-0.109412581295616,-3,0,0.145408965263678,"Male",0,115,"d89b31da"
"662",662,14,"14_d89b31da",-4,4,"Left_lead",0,1,0.990124106190667,-0.00987589380933318,-2,1,0.193080157630752,"Male",0,122,"d89b31da"
"669",669,14,"14_d89b31da",-1,1,"Left_lead",0,1,0.776462849605308,-0.223537150394692,-1,1,0.114756071781412,"Male",0,14,"d89b31da"
"671",671,14,"14_d89b31da",-1,1,"Left_lead",0,1,0.946935711540166,-0.0530642884598342,-1,0,0.13402164526248,"Male",0,16,"d89b31da"
"679",679,14,"14_d89b31da",1,1,"Left_lead",0,1,1.02968938961234,0.0296893896123445,-2,0,0.121884862016061,"Male",0,23,"d89b31da"
"681",681,14,"14_d89b31da",-4,4,"Left_lead",0,1,0.515169802742715,-0.484830197257285,2,0,0.0825287543990632,"Male",1,25,"d89b31da"
"689",689,14,"14_d89b31da",-3,3,"Left_lead",0,1,0.919490225357159,-0.0805097746428407,-3,0,0.117720022381014,"Male",0,32,"d89b31da"
"690",690,14,"14_d89b31da",3,3,"Left_lead",0,1,0.9094550594274,-0.0905449405726,-1,0,0.141689275708388,"Male",0,33,"d89b31da"
"698",698,14,"14_d89b31da",-2,2,"Left_lead",0,1,1.91861174453807,0.918611744538071,-2,0,0.231999129424968,"Male",0,40,"d89b31da"
"706",706,14,"14_d89b31da",3,3,"Left_lead",0,1,1.11162681021945,0.111626810219451,-2,1,0.169810420284865,"Male",0,48,"d89b31da"
"713",713,14,"14_d89b31da",4,4,"Left_lead",0,1,0.646607509757732,-0.353392490242268,-5,0,0.101496635997888,"Male",0,54,"d89b31da"
"717",717,14,"14_d89b31da",-3,3,"Left_lead",0,1,0.725508015682526,-0.274491984317474,-1,1,0.115662184172437,"Male",0,58,"d89b31da"
"723",723,14,"14_d89b31da",3,3,"Left_lead",0,1,1.00017786535238,0.000177865352377404,-1,1,0.13035672490418,"Male",0,63,"d89b31da"
"731",731,14,"14_d89b31da",-3,3,"Left_lead",0,1,0.770643515037616,-0.229356484962384,1,1,0.115490795025296,"Male",1,70,"d89b31da"
"732",732,14,"14_d89b31da",-4,4,"Left_lead",0,1,0.882225803032765,-0.117774196967235,-2,0,0.135583498189191,"Male",0,71,"d89b31da"
"736",736,14,"14_d89b31da",-3,3,"Left_lead",0,1,1.08294008206399,0.0829400820639858,-2,0,0.175881801671953,"Male",0,75,"d89b31da"
"738",738,14,"14_d89b31da",4,4,"Left_lead",0,1,0.9836563332425,-0.0163436667575002,-1,1,0.172603886880524,"Male",0,77,"d89b31da"
"740",740,14,"14_d89b31da",4,4,"Left_lead",0,1,0.959757036798368,-0.0402429632016319,-1,1,0.157055663708041,"Male",0,79,"d89b31da"
"755",755,14,"14_d89b31da",-1,1,"Left_lead",0,1,0.975376206460409,-0.024623793539591,1,1,0.195991660521487,"Male",1,92,"d89b31da"
"760",760,14,"14_d89b31da",-1,1,"Left_lead",0,1,0.863169665421516,-0.136830334578484,2,0,0.181950390180407,"Male",1,97,"d89b31da"
"761",761,14,"14_d89b31da",-4,4,"Left_lead",0,1,0.936545750487059,-0.0634542495129411,-2,0,0.199106127650474,"Male",0,98,"d89b31da"
"767",767,15,"15_49c9ee1c",4,4,"Left_lead",0,0,0.827572834214007,-0.172427165785993,-5,0,0.172889536823151,"Male",0,102,"49c9ee1c"
"769",769,15,"15_49c9ee1c",1,1,"Left_lead",0,0,0.852215733978584,-0.147784266021416,3,0,0.182921114866732,"Male",1,104,"49c9ee1c"
"772",772,15,"15_49c9ee1c",-1,1,"Left_lead",0,0,0.857473191808017,-0.142526808191983,-2,0,0.185356656737777,"Male",0,107,"49c9ee1c"
"773",773,15,"15_49c9ee1c",-3,3,"Left_lead",0,0,0.853250197933322,-0.146749802066678,3,1,0.185304583150389,"Male",1,108,"49c9ee1c"
"775",775,15,"15_49c9ee1c",4,4,"Left_lead",0,0,0.700965386576778,-0.299034613423222,-2,0,0.0919554652343444,"Male",0,11,"49c9ee1c"
"784",784,15,"15_49c9ee1c",-1,1,"Left_lead",0,0,0.944751313014135,-0.0552486869858653,3,0,0.164448521527366,"Male",1,118,"49c9ee1c"
"785",785,15,"15_49c9ee1c",-1,1,"Left_lead",0,0,0.940689830197755,-0.0593101698022447,-2,1,0.180479754195906,"Male",0,119,"49c9ee1c"
"788",788,15,"15_49c9ee1c",-1,1,"Left_lead",0,0,0.98150404725268,-0.0184959527473204,2,0,0.187368013361774,"Male",1,121,"49c9ee1c"
"794",794,15,"15_49c9ee1c",-2,2,"Left_lead",0,0,0.829436439823944,-0.170563560176056,2,0,0.170764459084253,"Male",1,127,"49c9ee1c"
"799",799,15,"15_49c9ee1c",4,4,"Left_lead",0,0,0.741916597990569,-0.258083402009431,-2,1,0.107251091299584,"Male",0,17,"49c9ee1c"
